id,type,plusAvailable,creationTime,replyCount,usefulVoteCount,score,content
14026461192,phone,201,2020-04-12 18:53:08,0,0,5,帮我妹妹买的。首先到货很快，前一天晚上下的单，第二天晚上就到了，物流很给力，颜色很漂亮，淡绿色，作为一个女孩子很喜欢这个手机颜色，屏幕触感很舒服，拍照效果个人觉得挺好的，而且运行速度很快，打游戏一点也没有缓冲的感觉，赶上做活动，价格也实惠，妹妹很满意
14088304914,phone,0,2020-04-28 12:47:11,0,1,5,不错手机质量很好没有出什么问题了已经是第二次在京东买手机了外形外观：透白色很可爱运行速度：很棒拍照效果：比较喜欢苹果拍照的效果屏幕音效：看着眼睛没那么累
13895175522,phone,0,2020-03-09 20:27:04,0,1,5,外形外观：很好看，黄色颜色有点偏淡屏幕音效：音效特别好，听出了音响的感觉拍照效果：还可以运行速度：很快待机时间：电池很耐造其他特色：分量很重
14078041095,phone,201,2020-04-25 19:52:21,0,0,5,外形外观：颜色对比纠结选了很久，最后还是觉得白色好一些。最终拿到手上还不错！黑边框确实宽了些屏幕音效：外放音效赞一下，很有立体声感。左右音量平衡的不错拍照效果：拍照完全够用，速度快，对拍照没有极端要求运行速度：目前是最快的处理器了，没得说，系统也很流畅待机时间：一晚待机耗电约2%，大概就这样子其他特色：现在来说没有指纹解锁方便，戴口罩面容解锁是不会成功的，应用下载安全放心，版本更新及时快速，玩游戏完全无压力，机身发热现象是有的。价格嘛，现在对比安卓来说也不是很难接受了，安卓的价格这几年也升的很快。
14074043209,phone,201,2020-04-24 19:19:06,0,0,5,外形外观：外观时尚，紫色非常好看，特别的喜欢屏幕音效：屏幕非常清晰，音质非常棒，听歌棒棒的拍照效果：拍照没得说，毛孔都能拍到一清二楚运行速度：运行非常快，一点都不卡待机时间：目前待机状况还是非常好的，不知道以后怎么样：了其他特色：特色就是颜值高，哈哈哈哈哈
14062222883,phone,201,2020-04-21 18:51:18,0,0,5,外形外观：少女紫，老婆喜欢屏幕音效：色彩艳丽，音效很好拍照效果：不错耳目一新待机时间：待机1天半运行速度：老婆用足够，也不玩游戏其他特色：屏占比很大
14069796411,phone,201,2020-04-23 17:26:19,0,1,5,外形外观：苹果的外观自然不必多说，高端大气上档次屏幕音效：屏幕清晰，音效超好拍照效果：拍照响应速度超快，画质细腻能表现出真是场景的色彩运行速度：搭载最新处理器，反应灵敏，手机也不发热，还没有测试过手游，应该不会失望待机时间：待机时间很长，大概是新手机的原因吧
14043869137,phone,201,2020-04-17 10:32:24,0,1,5,外形外观：非常好看，比原来的7强了很多，个头适中屏幕音效：感觉屏幕大了不少，音质和音效也变好了待机时间：原来的手机电池用了两年半就感觉不行了，现在这个很扛造的感觉。拍照效果：明显比以前清晰了，苹果手机虽然像素没有国产的高，但是整合效果绝对是业界第一
14066035907,phone,0,2020-04-22 18:02:19,0,0,5,外形外观：手机线条流畅，尺寸刚好，颜值远超预期屏幕音效：挺好的拍照效果：拍照效果杠杠滴运行速度：手机运行好顺畅，面容解锁就在一瞬间待机时间：好，不玩游戏一天一充完全没问题
14084636662,phone,201,2020-04-27 13:58:19,1,0,5,用了两个星期很好用，裸机手感太棒了真的不想戴壳，但毕竟维修费摆在那，刚开始看大家都说机子发烫、电池有问题、死机的情况不知道我是不是比较幸运，两星期一点情况都没有，完美运行。拿在手里手感很好拍照效果：拍照拍的很清楚，像素很好电池续航：晚上充满电，可以用一整天运行速度：玩游戏的时候超级速度而且一点也不卡通信音质：音质特别好，看电影放大音量有在电影院的感觉很不错
14041454232,phone,201,2020-04-16 16:44:20,0,3,5,外形外观：很经典的刘海屏造型，拿到手整体还是挺重的，对于拿习惯6s来说。屏幕音效：屏幕分辨率很高，色彩鲜艳，音效都不错。拍照效果：拍照效果挺好的，不失真，也没有太多花俏的功能，对于摄像要求一般的也足够了。运行速度：ios系统稳定，速度很快。待机时间：待机时间够用。
14052399215,phone,103,2020-04-19 12:41:17,0,0,5,从5**始用到现在，习惯了ios，本不喜欢的刘海屏最后还是真香，原来的8太卡了，内存也不够大，换了11挺好的，操作很快就习惯，还有水果的傻瓜式换新机操作好评
14039934315,phone,201,2020-04-16 10:19:33,0,0,5,物流很快，手机不错，边框看习惯了也还好，在晚上拍照效果不错，待机时间很长，不玩游戏一天不充电没问题，屏幕大小刚好，音效也比之前的手机好，选了很久，最后还是选了白色，没失望，，，，，，，，，，，，，，，，，，，
14057727677,phone,201,2020-04-20 17:12:16,1,0,5,外形外观：没有任何争议，颜值有史以来最佳，手感超级棒，厚度比xr薄，拿着舒服屏幕音效：更新一代的音效有所提高，具体等多用段时间再来评价拍照效果：拍照效果比我原来的小7提高太多了，照片效果不比华为莱卡差运行速度：iOS的运行速度毋容置疑，一贯的流畅，容易上手，没有多余的广告弹窗待机时间：待机时间，一天完全没问题，正常使用可以两天，游戏党和追剧党除外其他特色：总之，满意
13972595453,phone,201,2020-03-29 19:44:56,0,3,5,外形外观：买的紫色，淡淡的非常好看很优雅，适合女孩子拿。双面玻璃，质感好，拿手上也有份量。屏幕音效：分辨率高，画面很清晰，音效好没杂音，而且音量也够大。拍照效果：就是冲着iPhone11的拍照功能买的，超大广角，可以拍出大片感，尤其爱它的夜拍功能，实在不是一般的好啊，大爱。运行速度：运行速度超级快，各个功能切换完美。待机时间：待机时间超长，17-18个小时完全没问题，而且充电速度也快，低电模式也就2小时能充满。其他特色：性价比超划算，关键好用又好看，买了绝对不亏。
14035970411,phone,201,2020-04-15 09:58:56,0,0,5,外形外观：外观靓丽大气，淡淡的绿色很好看。屏幕音效：屏幕是全面屏，刘海处理的很好不影响使用，日常使用完全没有问题。拍照效果：夜景模式非常强大，光线很暗的情况下还能拍的很清楚。广角镜头也非常有用。运行速度：运行速度没得说，很迅速。待机时间：充满电完全可以用一整天。
14052262375,phone,103,2020-04-19 12:10:07,0,0,5,外形外观：挺好看，玻璃机身，手感不错屏幕音效：很棒，音质很OK拍照效果：还可以，够用的运行速度：运行很流畅，无丝毫卡顿待机时间：待机勉强也还可以，毕竟新手机整体来说手机还是很不错的，值得购买，性价比高，用过安卓的在用苹果的体验就很不一样，很流畅。。
14079660728,phone,201,2020-04-26 09:58:29,0,0,5,产品上手很舒服，第一次尝试绿色的iphone，很新奇，颜值很高。新机子手感很棒，系统流畅，数据迁移方便，下次出新品还会再来的。
14014920076,phone,201,2020-04-09 18:27:54,0,1,5,外形外观：本以为刘海屏不好看，一上手还是很惊艳的感觉，不同于轻薄手机，11拿在手里很有质感。屏幕音效：屏幕分辨率很舒服，双扬声器音质很给力。拍照效果：拍照很真实，同比于本人之前的安卓机。运行速度：运行速度简直秒杀手里的安卓备用机，很流畅。待机时间：打了两把王者，电量还是百分百，给力！其他特色：IOS生态系统永远滴神！
13803725697,phone,201,2020-02-15 14:20:09,0,0,5,我是一个从安卓转iOS用户，拿上手机的时候，第一这个绿色真的把我惊艳到了确实很好看。第二，双扬声器的体验也很舒服（用了就知道）不管是打游戏还是看电影。第三，如果手机正常使用基本一天一充没毛病（玩游戏至少要两充以上）最后总结一下1、拍照够用了2、lcd的屏幕用起来很ok，没有网上说的那么**、想入手的小伙伴们非常值得入手，这个价格确实香。
14062014116,phone,201,2020-04-21 17:57:06,1,0,5,外形外观：给我妹买的，外观是她喜欢的类型，颜色也非常好看。屏幕音效：屏幕效果非常棒，很清晰。音质也无可挑剔。拍照效果：拍照很清晰，我妹用来拍照时说非常好，附带轻度美颜，非常舒服。运行速度：运行速度也不错，打开程序很快，一点也不卡。待机时间：不玩游戏，不看视频，能用两天丝毫没问题。其他特色：还送了一些小东西，很贴心。
14033265841,phone,201,2020-04-14 14:53:07,0,1,5,手机是正品，这么多年了，大大小小的电子产品家用电器都在京东买，值得信赖，快递也是很快，隔天儿就到，还给了小赠品，给小弟买的，黑色256GB，他甭提多开心了哈哈哈哈，身边好多朋友都在用这个手机，有一说一，苹果的系统确实无敌，很顺畅，电池续航也杠杠的，质量没得说，京东值得信赖！
14034647249,phone,0,2020-04-14 20:58:10,0,0,5,外形外观：很不错的，为了黑色的专门等了半个多月，拿到手以后确实觉得没有白等，自4s之后再没有如此感觉！屏幕音效：很好，满意！拍照效果：试了一下，很不错拍照效果！运行速度：流畅加满意！待机时间：新手机一般都不错，据说11的电池是待机最好的，拭目以待吧！其他特色：有待开发！整体感觉很满意！
14042131806,phone,201,2020-04-16 19:47:52,0,0,5,外形美观，尤其是拍照效果更是好，运行速度快，待机时间也很长，总之整体感觉都很不错
